epoch,train loss,test loss,train accuracy,test accuracy
0,2.349471,2.312655,0.107480,0.122400
1,2.051353,1.866772,0.245100,0.322600
2,1.672305,1.500957,0.395900,0.451100
3,1.456723,1.358333,0.475020,0.506500
4,1.328614,1.265241,0.519060,0.545200
5,1.225866,1.211642,0.558640,0.565600
6,1.139251,1.190570,0.593480,0.574100
7,1.058357,1.212846,0.621480,0.575100
8,0.986423,1.251543,0.648360,0.569300
9,0.917261,1.246786,0.673480,0.587200
10,0.848049,1.212437,0.699460,0.590800
11,0.769158,1.238418,0.726680,0.604000
12,0.692602,1.275443,0.755700,0.595000
13,0.601630,1.383682,0.785480,0.598100
14,0.539308,1.418151,0.806500,0.608700
15,0.453672,1.480296,0.836960,0.612300
16,0.376069,1.598643,0.865560,0.608600
17,0.304685,1.765244,0.889960,0.613900
18,0.250775,1.823023,0.909800,0.613800
19,0.211064,1.805869,0.924760,0.621800
20,0.178312,1.922039,0.935460,0.621400
21,0.154921,1.909786,0.945140,0.624500
22,0.123409,1.991655,0.956200,0.631100
23,0.094415,1.983603,0.967020,0.640200
24,0.078072,2.190512,0.972840,0.626200
25,0.077486,2.148013,0.973400,0.631700
26,0.061131,2.248636,0.978960,0.636900
27,0.059323,2.180286,0.980860,0.634400
28,0.058878,2.250766,0.979980,0.640800
29,0.049433,2.312904,0.983020,0.634500
30,0.043554,2.422171,0.984840,0.628800
31,0.049540,2.361007,0.983160,0.632700
32,0.050984,2.353247,0.982760,0.637000
33,0.039445,2.396766,0.986860,0.635200
34,0.044495,2.449456,0.984760,0.635400
35,0.037745,2.513339,0.987060,0.635700
36,0.036189,2.504461,0.987580,0.639700
37,0.036199,2.470108,0.987720,0.634100
38,0.034355,2.527400,0.988560,0.635700
39,0.032734,2.533418,0.989200,0.635200
40,0.028214,2.575410,0.990640,0.638900
41,0.029293,2.496779,0.989800,0.647100
42,0.025082,2.568748,0.991540,0.645300
43,0.021755,2.623703,0.992540,0.644700
44,0.025478,2.601716,0.991540,0.640400
45,0.025480,2.622663,0.990800,0.645200
46,0.022488,2.629662,0.992740,0.637300
47,0.021868,2.679552,0.992360,0.639200
48,0.017366,2.628831,0.994360,0.650500
49,0.010930,2.653985,0.996580,0.655300
50,0.012527,2.831441,0.995900,0.643600
51,0.018258,2.722976,0.994160,0.646800
52,0.012471,2.721659,0.995880,0.654000
53,0.009232,2.767779,0.997060,0.656000
54,0.008396,2.772600,0.997420,0.654800
55,0.006875,2.839557,0.997740,0.650800
56,0.007598,2.840946,0.997460,0.652700
57,0.003756,2.997673,0.999000,0.648900
58,0.003157,2.925376,0.999200,0.651800
59,0.003174,3.042007,0.999180,0.648800
60,0.009607,3.045254,0.996760,0.643100
61,0.018451,2.872391,0.993760,0.651300
62,0.009861,2.847811,0.996840,0.652600
63,0.002514,2.805822,0.999400,0.664600
64,0.000503,2.849781,0.999940,0.663400
65,0.000137,2.867627,1.000000,0.663700
66,0.000101,2.881963,1.000000,0.663400
67,0.000086,2.895279,1.000000,0.663000
68,0.000075,2.908096,1.000000,0.662500
69,0.000067,2.920611,1.000000,0.662600
70,0.000060,2.932986,1.000000,0.662900
71,0.000055,2.945314,1.000000,0.663100
72,0.000050,2.957618,1.000000,0.663500
73,0.000046,2.969937,1.000000,0.663400
74,0.000043,2.982222,1.000000,0.663300
75,0.000040,2.994384,1.000000,0.662900
76,0.000037,3.006354,1.000000,0.662500
77,0.000034,3.018176,1.000000,0.662400
78,0.000032,3.029828,1.000000,0.662300
79,0.000030,3.041250,1.000000,0.661900
80,0.000028,3.052387,1.000000,0.661900
81,0.000027,3.063166,1.000000,0.661900
82,0.000025,3.073608,1.000000,0.661800
83,0.000024,3.083640,1.000000,0.661500
84,0.000023,3.093192,1.000000,0.661600
85,0.000022,3.102235,1.000000,0.662000
86,0.000021,3.110741,1.000000,0.661800
87,0.000020,3.118685,1.000000,0.662000
88,0.000019,3.126000,1.000000,0.662000
89,0.000018,3.132622,1.000000,0.662100
90,0.000018,3.138539,1.000000,0.662200
91,0.000017,3.143742,1.000000,0.662400
92,0.000017,3.148230,1.000000,0.662400
93,0.000017,3.151966,1.000000,0.662600
94,0.000016,3.154971,1.000000,0.662600
95,0.000016,3.157237,1.000000,0.662500
96,0.000016,3.158839,1.000000,0.662500
97,0.000016,3.159807,1.000000,0.662500
98,0.000016,3.160259,1.000000,0.662500
99,0.000016,3.160383,1.000000,0.662500
