epoch,train loss,test loss,train accuracy,test accuracy
0,2.485822,2.335617,0.098000,0.100000
1,2.320938,2.327116,0.100875,0.100000
2,2.306565,2.288126,0.116375,0.133200
3,2.265973,2.248960,0.145875,0.155600
4,2.218305,2.158668,0.154625,0.177600
5,2.107064,2.106595,0.182750,0.180400
6,2.060257,2.058064,0.192875,0.193800
7,2.029246,2.013974,0.205000,0.235000
8,1.990531,2.009418,0.228375,0.251000
9,1.920584,1.892331,0.259125,0.286000
10,1.872504,1.866071,0.279500,0.284600
11,1.794010,1.769746,0.317750,0.325000
12,1.727898,1.709918,0.346625,0.355200
13,1.687833,1.691709,0.370875,0.367800
14,1.640656,1.644889,0.386875,0.386600
15,1.603832,1.630957,0.397625,0.398000
16,1.570429,1.606104,0.414500,0.407600
17,1.540664,1.636692,0.425375,0.400600
18,1.486333,1.565150,0.447375,0.428200
19,1.439596,1.503352,0.461875,0.437400
20,1.405367,1.526822,0.478250,0.431600
21,1.366802,1.526736,0.486875,0.441800
22,1.362742,1.564600,0.488500,0.418400
23,1.321269,1.465525,0.509500,0.461800
24,1.264641,1.471080,0.530750,0.459000
25,1.220386,1.472794,0.547000,0.469600
26,1.185404,1.502020,0.560875,0.461600
27,1.170365,1.473624,0.557250,0.465200
28,1.160055,1.498263,0.566500,0.462600
29,1.138949,1.431966,0.580250,0.490200
30,1.093456,1.415227,0.598125,0.498400
31,1.018020,1.464045,0.622750,0.488000
32,0.971906,1.516599,0.638125,0.482400
33,0.933090,1.529500,0.660125,0.484400
34,0.844111,1.583750,0.689000,0.479000
35,0.794093,1.663649,0.712875,0.467800
36,0.781331,1.736730,0.717375,0.463000
37,0.770515,1.680346,0.717875,0.478800
38,0.678694,1.898212,0.748375,0.450800
39,0.680337,1.871583,0.751125,0.448600
40,0.653984,2.047079,0.766250,0.435000
41,0.627588,1.843101,0.766500,0.485000
42,0.530776,1.912831,0.811000,0.475400
43,0.425024,1.974413,0.850250,0.482000
44,0.327496,2.175208,0.886375,0.471800
45,0.298711,2.343253,0.896125,0.468000
46,0.265382,2.505411,0.908875,0.457600
47,0.257641,2.399521,0.911375,0.455000
48,0.232437,2.484957,0.920625,0.457800
49,0.210557,2.513198,0.927750,0.466800
50,0.168426,2.660037,0.945000,0.454000
51,0.136142,2.625595,0.955750,0.468000
52,0.101055,2.730939,0.968875,0.477600
53,0.090067,2.899032,0.971250,0.469800
54,0.079186,2.952946,0.976250,0.481200
55,0.064243,2.946633,0.980500,0.474200
56,0.042509,2.987829,0.989000,0.481200
57,0.026373,2.977170,0.993250,0.491800
58,0.010992,3.020715,0.999000,0.491800
59,0.004931,3.069852,1.000000,0.491600
60,0.002442,3.087607,1.000000,0.495400
61,0.001667,3.116562,1.000000,0.495000
62,0.001454,3.140084,1.000000,0.495600
63,0.001296,3.161056,1.000000,0.495200
64,0.001178,3.179222,1.000000,0.495800
65,0.001084,3.195366,1.000000,0.495000
66,0.001007,3.209885,1.000000,0.494600
67,0.000943,3.223053,1.000000,0.495000
68,0.000888,3.235045,1.000000,0.495600
69,0.000842,3.246003,1.000000,0.495600
70,0.000802,3.256044,1.000000,0.495400
71,0.000767,3.265270,1.000000,0.495200
72,0.000736,3.273749,1.000000,0.494600
73,0.000709,3.281544,1.000000,0.494400
74,0.000686,3.288721,1.000000,0.495000
75,0.000664,3.295326,1.000000,0.494600
76,0.000646,3.301391,1.000000,0.494600
77,0.000629,3.306949,1.000000,0.494200
78,0.000614,3.312034,1.000000,0.494800
79,0.000601,3.316668,1.000000,0.495200
80,0.000589,3.320881,1.000000,0.495000
81,0.000578,3.324696,1.000000,0.494600
82,0.000569,3.328147,1.000000,0.494600
83,0.000561,3.331251,1.000000,0.494600
84,0.000553,3.334021,1.000000,0.495000
85,0.000547,3.336478,1.000000,0.495000
86,0.000541,3.338646,1.000000,0.494800
87,0.000536,3.340544,1.000000,0.494800
88,0.000532,3.342183,1.000000,0.494800
89,0.000528,3.343575,1.000000,0.494800
90,0.000525,3.344741,1.000000,0.494800
91,0.000523,3.345701,1.000000,0.494800
92,0.000520,3.346475,1.000000,0.494800
93,0.000519,3.347080,1.000000,0.494800
94,0.000518,3.347532,1.000000,0.494800
95,0.000517,3.347850,1.000000,0.494800
96,0.000516,3.348057,1.000000,0.494800
97,0.000516,3.348174,1.000000,0.494800
98,0.000515,3.348219,1.000000,0.494800
99,0.000515,3.348228,1.000000,0.494800
